2019-08-01T00:13:46.170Z,1.62
2019-08-01T00:25:08.920Z,1.72
2019-08-01T00:36:25.540Z,2.57
2019-08-01T01:00:10.420Z,1.52
2019-08-01T01:19:38.750Z,2.03
2019-08-01T01:21:00.020Z,1.85
2019-08-01T01:26:30.710Z,1.63
2019-08-01T01:31:19.890Z,1.85
2019-08-01T02:32:29.940Z,1.50
2019-08-01T02:51:46.300Z,2.20
2019-08-01T02:58:53.310Z,1.68
2019-08-01T03:03:34.350Z,2.00
2019-08-01T03:08:26.420Z,1.60
2019-08-01T03:50:59.070Z,1.65
2019-08-01T04:51:29.320Z,2.07
2019-08-01T05:01:35.460Z,1.59
2019-08-01T05:37:31.370Z,1.68
2019-08-01T06:07:38.910Z,1.95
2019-08-01T06:31:58.980Z,1.55
2019-08-01T06:46:16.660Z,1.91
2019-08-01T07:19:06.120Z,1.51
2019-08-01T08:57:26.180Z,1.64
2019-08-01T10:31:24.720Z,3.17
2019-08-01T11:04:15.460Z,2.78
2019-08-01T11:37:27.120Z,1.86
2019-08-01T11:38:00.550Z,2.06
2019-08-01T12:22:45.800Z,1.72
2019-08-01T13:19:34.850Z,2.52
2019-08-01T14:56:11.750Z,1.64
2019-08-01T16:25:28.790Z,1.73
2019-08-01T16:53:12.430Z,1.54
2019-08-01T17:09:50.860Z,1.58
2019-08-01T17:43:03.190Z,2.75
2019-08-01T18:24:58.780Z,1.57
2019-08-01T18:30:28.810Z,2.50
2019-08-01T19:20:58.520Z,2.05
2019-08-01T19:53:20.380Z,1.97
2019-08-01T19:56:07.640Z,2.23
2019-08-01T19:57:50.630Z,1.54
2019-08-01T20:19:48.900Z,2.17
2019-08-01T21:43:22.920Z,1.67
2019-08-01T21:54:04.120Z,2.22
2019-08-01T22:41:31.810Z,2.10
2019-08-01T23:35:47.370Z,2.31
2019-08-01T23:37:25.140Z,2.62
2019-08-01T23:58:19.280Z,1.98
