t,s
2.820000,-168.109
2.830000,-153.823
2.840000,-152.243
2.850000,-163.584
2.860000,-152.734
2.870000,-156.875
2.880000,-151.892
2.890000,-146.152
2.900000,-137.749
2.910000,-141.951
2.920000,-131.033
2.930000,-142.918
2.940000,-150.581
2.950000,-164.281
2.960000,-159.617
2.970000,-156.668
2.980000,-143.870
2.990000,-154.779
3.000000,-150.238
3.010000,-164.196
3.020000,-142.549
3.030000,-157.482
3.040000,-157.006
3.050000,-137.450
3.060000,-129.174
3.070000,-136.331
3.080000,-124.020
3.090000,-121.077
3.100000,-125.914
3.110000,-145.910
3.120000,-147.911
3.130000,-139.224
3.140000,-116.118
3.150000,-112.068
3.160000,-120.010
3.170000,-130.263
3.180000,-105.087
3.190000,-103.538
3.200000,-93.954
3.210000,-94.437
3.220000,-57.710
3.230000,-65.016
3.240000,-69.536
3.250000,-50.179
3.260000,-45.112
3.270000,-42.166
3.280000,-43.048
3.290000,-65.910
3.300000,-34.623
3.310000,-26.769
3.320000,-32.893
3.330000,-25.963
3.340000,-29.968
3.350000,-21.552
3.360000,-20.593
3.370000,-17.117
3.380000,-16.937
3.390000,-5.274
3.400000,-4.035
3.410000,9.546
3.420000,4.555
3.430000,9.153
3.440000,17.255
3.450000,27.545
3.460000,26.446
3.470000,29.679
3.480000,31.327
3.490000,41.445
3.500000,23.061
3.510000,38.830
3.520000,26.071
3.530000,26.260
3.540000,30.475
3.550000,47.351
3.560000,54.897
3.570000,57.492
3.580000,51.452
3.590000,65.264
3.600000,54.723
3.610000,60.528
3.620000,76.146
3.630000,78.707
3.640000,80.272
3.650000,76.944
3.660000,88.364
3.670000,108.908
3.680000,103.941
3.690000,103.283
3.700000,108.393
3.710000,115.930
3.720000,105.936
3.730000,117.915
3.740000,138.281
3.750000,138.685
3.760000,140.765
3.770000,138.664
3.780000,129.067
3.790000,137.545
3.800000,143.750
3.810000,147.952
3.820000,157.081
3.830000,137.652
3.840000,145.203
3.850000,167.022
3.860000,180.078
3.870000,171.683
3.880000,167.283
3.890000,158.070
3.900000,157.445
3.910000,166.772
3.920000,164.487
3.930000,159.092
3.940000,176.133
3.950000,178.778
3.960000,173.116
3.970000,198.546
3.980000,188.943
3.990000,191.725
4.000000,204.818
4.010000,194.126
4.020000,236.323
4.030000,218.968
4.040000,215.004
4.050000,227.494
4.060000,245.495
4.070000,234.747
4.080000,228.674
4.090000,236.140
4.100000,251.236
4.110000,229.342
4.120000,255.399
4.130000,259.595
4.140000,268.061
4.150000,251.535
4.160000,258.190
4.170000,260.294
4.180000,269.465
4.190000,264.590
4.200000,271.624
4.210000,271.010
4.220000,261.829
4.230000,256.676
4.240000,280.370
4.250000,264.741
4.260000,278.787
4.270000,280.008
4.280000,264.812
4.290000,273.758
4.300000,276.932
4.310000,283.270
4.320000,284.749
4.330000,302.166
4.340000,302.451
4.350000,291.822
4.360000,290.915
4.370000,294.511
4.380000,286.257
4.390000,293.362
4.400000,308.087
4.410000,323.566
4.420000,329.999
4.430000,350.159
4.440000,330.352
4.450000,351.282
4.460000,346.678
4.470000,332.685
4.480000,318.460
4.490000,330.171
4.500000,338.922
4.510000,346.229
4.520000,335.578
4.530000,356.948
4.540000,348.018
4.550000,350.581
4.560000,352.658
4.570000,349.750
4.580000,335.503
4.590000,371.959
4.600000,363.653
4.610000,346.266
4.620000,367.639
4.630000,368.691
4.640000,364.150
4.650000,369.567
4.660000,358.048
4.670000,379.641
4.680000,363.258
4.690000,369.434
4.700000,363.994
4.710000,314.793
4.720000,250.049
4.730000,198.924
4.740000,238.917
4.750000,377.138
4.760000,669.923
4.770000,789.500
4.780000,463.323
4.790000,50.832
4.800000,81.476
4.810000,420.688
4.820000,639.503
4.830000,630.653
4.840000,604.955
4.850000,410.757
4.860000,108.412
4.870000,105.311
4.880000,300.047
4.890000,455.325
